year,major,percent
2008,Chemical Engineering,0.2537688442211055
2008,Management Information Systems,0.22448979591836735
2008,Systems Engineering,0.6923076923076923
2008,Engineering Technology,0.09069212410501193
2008,Informatics,0.13533834586466165
2008,Industrial Distribution,0.19525547445255476
2008,Information Technology,0.07769230769230769
2008,Civil Engineering,0.18487972508591066
2008,Biosystems Engineering,0.3
2008,Bioinformatics,0.37735849056603776
2008,CS and/or Eng Multiple Majors (data submitted in aggregation),0.13987341772151898
2008,Computer Software and Media Applications,0.1774033696729435
2008,Computer Science / Engineering,0.04908675799086758
2008,Computer Engineering,0.0969640644361834
2008,Electrical & Computer Engineering,0.2026315789473684
2008,Computer Science (BS),0.09473684210526316
2008,Materials Science and Engineering,0.2471264367816092
2012,Computer Systems Engineering,0.10046728971962617
2012,Computer Science (BA),0.16306483300589392
2012,Electrical Engineering,0.10846281490420878
2012,Computer Information Systems,0.1758957654723127
2012,Mechanical Engineering,0.12132037725064304
2012,Information Science,0.2833333333333333
2012,Game Design,0.05
2012,Information Assurance/Cybersecurity,0.10344827586206896
2012,General Engineering,0.1111111111111111
2012,Computer Science,0.13337219847130458
2012,Chemical Engineering,0.23841059602649006
2012,Aerospace Engineering,0.16228467815049863
2012,Management Information Systems,0.26002055498458376
2012,Systems Engineering,0.3050847457627119
2012,Web Design ,0.5151515151515151
2012,Engineering Technology,0.11907514450867052
2012,Computer Science + X,0.21720116618075802
2012,Informatics,0.17397881996974282
2012,Industrial Distribution,0.1625441696113074
2012,Information Technology,0.12173563680192849
2012,Civil Engineering,0.22306238185255198
2012,Computational Biology,0.6666666666666666
2012,CS and/or Eng Multiple Majors (data submitted in aggregation),0.15465810004589262
2012,Electrical and Computer Engineering,0.1422498364944408
2012,Computer Software and Media Applications,0.22982216142270862
2012,Applied Information Technology,0.179421768707483
2012,Electrical, Electronics and Communications Engineering,0.16666666666666666
2012,Software Engineering,0.08551483420593368
2012,Computer Engineering,0.10038558702300227
2012,Electrical & Computer Engineering,0.1834862385321101
2012,Computer Science (BS),0.12054681027340514
2007,Computer Systems Engineering,0.1365079365079365
2007,Mathematics and Computer Science,0.5
2007,Computer Science (BA),0.16730038022813687
2007,Networking,0.04195804195804196
2007,Electrical Engineering,0.10650128314798973
2007,Computer Information Systems,0.25
2007,Mechanical Engineering,0.0902555910543131
2007,Information Science,0.2304147465437788
2007,Computer Science,0.11378513669618791
2007,Management Information Systems,0.2426470588235294
2007,Engineering Technology,0.09738717339667459
2007,Computer Science + X,0.12962962962962962
2007,Informatics,0.1514705882352941
2007,Industrial Distribution,0.19288389513108614
2007,Information Technology,0.11183355006501951
2007,Civil Engineering,0.23003194888178913
2007,Bioinformatics,0.25
2007,CS and/or Eng Multiple Majors (data submitted in aggregation),0.1603960396039604
2007,Computer Science / Engineering,0.054272517321016164
2007,Software Engineering,0.0625
2007,Computer Engineering,0.1
2007,Electrical & Computer Engineering,0.2013986013986014
2007,Computer Science (BS),0.11961722488038277
2014,Computer Systems Engineering,0.11405295315682282
2014,Computer Science (BA),0.1490082244799226
2014,Electrical Engineering,0.12272396212672979
2014,Information Sciences,0.3076923076923077
2014,Computer Information Systems,0.10382513661202186
2014,Mechanical Engineering,0.14167639924535083
2014,Information Science,0.19858156028368795
2014,Computer and Information Sciences,0.17669172932330826
2014,Game Design,0.14150943396226415
2014,Information Assurance/Cybersecurity,0.16753926701570682
2014,General Engineering,0.2417910447761194
2014,Computer Science,0.15762081784386617
2014,Chemical Engineering,0.2361308677098151
2014,Aerospace Engineering,0.13822393822393822
2014,Management Information Systems,0.20764552562988706
2014,Web Design ,0.6333333333333333
2014,Engineering Technology,0.13028439661798616
2014,Data Science,0.46153846153846156
2014,Computer Science + X,0.24545821558336697
2014,Informatics,0.24352879027997887
2014,Industrial Distribution,0.1648
2014,Information Technology,0.15080411283944106
2014,Civil Engineering,0.2305863708399366
2014,Computational Biology,0.6923076923076923
2014,CS and/or Eng Multiple Majors (data submitted in aggregation),0.1637839167144848
2014,Information Science ,0.26666666666666666
2014,Electrical and Computer Engineering,0.1407146007940009
2014,Computer Software and Media Applications,0.29523809523809524
2014,Electrical, Electronics and Communications Engineering,0.125
2014,Software Engineering,0.10557053009883198
2014,Computer Engineering,0.0969211149571871
2014,Electrical & Computer Engineering,0.19194312796208532
2014,Computer Science (BS),0.13981603153745073
2009,Computer Systems Engineering,0.11692307692307692
2009,Computer Science (BA),0.10059171597633136
2009,Electrical Engineering,0.1273615635179153
2009,Computer Information Systems,0.19770114942528735
2009,Mechanical Engineering,0.13256675852893662
2009,Applied Engineering Sciences,0.288961038961039
2009,Information Science,0.18620689655172415
2009,General Engineering,0.20212765957446807
2009,Computer Science,0.12309746328437918
2009,Chemical Engineering,0.23536895674300254
2009,Management Information Systems,0.2751677852348993
2009,Systems Engineering,0.23529411764705882
2009,Engineering Technology,0.1521472392638037
2009,Informatics,0.16167664670658682
2009,Industrial Distribution,0.21731448763250882
2009,Information Technology,0.08776779543883897
2009,Civil Engineering,0.1978818283166109
2009,Biosystems Engineering,0.3253731343283582
2009,Bioinformatics,0.34375
2009,CS and/or Eng Multiple Majors (data submitted in aggregation),0.15421092564491654
2009,Electrical and Computer Engineering,0.10636942675159236
2009,Computer Software and Media Applications,0.21477272727272728
2009,Computer Science / Engineering,0.09109518935516889
2009,Applied Information Technology,0.17822899041173154
2009,Software Engineering,0.015151515151515152
2009,Computer Engineering,0.11220580186097427
2009,Electrical & Computer Engineering,0.18596491228070175
2009,Computer Science (BS),0.13861386138613863
2009,Materials Science and Engineering,0.23841059602649006
2005,Computer Science (BA),0.14516129032258066
2005,Networking,0.050314465408805034
2005,Electrical Engineering,0.1252927400468384
2005,Computer Information Systems,0.16326530612244897
2005,Mechanical Engineering,0.09994121105232216
2005,Information Science,0.16891891891891891
2005,Computer Science,0.1252533441426834
2005,Computer Science + X,0.13513513513513514
2005,Informatics,0.13090909090909092
2005,Information Technology,0.10384615384615385
2005,Civil Engineering,0.19538188277087035
2005,CS and/or Eng Multiple Majors (data submitted in aggregation),0.12616229923922231
2005,Computer Science / Engineering,0.07326732673267326
2005,Computer Engineering,0.11530398322851153
2005,Electrical & Computer Engineering,0.16939890710382513
2005,Computer Science (BS),0.15
